member,IL_mm,CL_mm_hr
1,32.6,3.95
2,18.2,3.86
3,40.6,1.21
4,27.9,0.56
5,7.5,1.54
6,59.3,1.06
7,31.8,1.96
8,33.3,8.92
9,8.6,1.14
10,18.5,1.61
11,16.0,3.99
12,50.2,2.56
13,25.8,0.59
14,36.7,1.08
15,18.3,7.41
16,11.4,0.89
17,22.2,3.33
18,6.0,4.63
19,37.2,1.41
20,25.3,3.99
21,31.6,1.1
22,15.5,1.48
23,58.3,1.58
24,44.4,9.5
25,32.9,1.25
26,10.4,0.97
27,19.0,7.08
28,5.0,1.08
29,9.3,5.89
30,27.3,3.43
31,30.8,2.96
32,57.8,4.24
33,14.5,4.0
34,16.0,0.91
35,19.1,9.61
36,10.3,7.63
37,8.6,6.15
38,19.3,3.24
39,11.4,2.64
40,26.8,2.72
41,18.1,0.45
42,37.8,2.5
43,28.0,3.25
44,14.0,3.48
45,37.7,1.67
46,34.7,2.35
47,16.6,3.34
48,13.2,2.12
49,27.3,8.33
50,8.9,3.8
51,10.6,0.38
52,3.2,0.49
53,33.4,3.69
54,26.6,2.04
55,28.3,5.29
56,33.0,1.11
57,18.8,0.44
58,22.7,1.92
59,8.9,4.09
60,8.2,8.66
61,26.7,5.95
62,19.1,2.42
63,22.6,4.89
64,32.0,0.73
65,25.4,2.93
66,22.1,7.03
67,22.4,1.96
68,13.7,8.26
69,4.3,1.27
70,18.1,0.89
71,11.0,2.65
72,17.3,6.45
73,40.1,1.58
74,11.6,4.7
75,5.7,1.1
76,13.0,4.18
77,13.4,2.84
78,26.5,1.12
79,22.3,3.92
80,33.2,3.88
81,26.6,2.59
82,17.2,1.28
83,35.7,0.98
84,9.7,8.16
85,3.9,3.46
86,7.3,4.84
87,29.4,3.73
88,18.9,5.14
89,9.5,1.08
90,20.0,2.48
91,9.3,3.54
92,27.9,0.89
93,18.4,1.04
94,16.4,3.32
95,13.7,5.73
96,25.2,3.49
97,15.7,0.56
98,7.2,8.61
99,8.3,1.0
100,56.7,1.31
